x= 1049.000000 , y= 2755.000000 , theta = 0.000000 , id = 10113539888386493330
x= 1593.000000 , y= 2881.000000 , theta = 0.000000 , id = 11763046553120314647
I am done with best solution cost = 125032
Time = 9434ms
138 
1049.000000 2755.000000 0.000000
964.682662 3311.489976 5.953503
1291.081663 3397.845571 4.547662
1054.246823 3304.147513 4.371890
1465.105494 3154.361920 5.648756
1372.643383 3383.751180 4.863616
1402.946662 3096.522564 0.817707
1124.436412 3203.438397 5.089555
1567.404748 3240.582764 3.166176
1740.336508 3083.616131 2.280075
2021.579804 3243.577449 2.448146
1985.821076 3648.253018 3.047644
1819.461218 3535.857212 1.023293
1428.571077 3543.003474 5.166610
1151.661256 3852.453082 2.289201
1002.186659 3719.962433 3.870642
681.276130 3944.726476 3.694389
954.772878 4144.289903 3.559281
920.042711 4436.006176 0.698677
761.443474 4653.739334 0.594543
839.219971 4415.415207 4.168259
548.783712 4490.728371 2.111145
223.885168 4629.601994 4.509878
427.052308 4609.279278 3.464458
667.728544 4857.796040 0.836848
398.900408 5082.093509 0.208207
881.503836 4948.869844 2.523062
1362.865896 4914.854045 2.112894
1542.231963 4418.072837 1.206598
1614.139591 4531.434751 3.352382
1359.276451 5137.011239 3.666204
1440.211288 4914.369726 3.083100
1669.234046 4247.795478 5.042938
2314.988759 4272.385569 1.923796
1719.792514 4150.689052 0.984853
2149.783582 4346.804129 5.129531
1752.735855 4313.430600 0.384511
2394.509212 4321.189054 2.860356
1920.826518 4072.842220 5.316827
1392.863836 3846.210441 0.773081
833.245567 3881.001086 0.318861
433.623404 4446.981458 4.961353
503.156307 4326.737939 3.297830
391.674364 4555.171303 3.977949
181.039214 4731.311464 2.496747
132.004819 4994.482221 4.593966
152.722405 4823.281955 2.799721
404.731095 5079.441486 5.296796
262.741390 4959.840234 5.296142
1502.331225 4190.052166 1.238345
854.614827 4584.693029 2.312723
874.279872 4511.792397 5.525777
394.008537 4676.591400 1.745872
1215.957248 3272.186622 0.624557
1479.241745 3548.302047 0.626909
1830.408363 3099.298522 5.951631
2401.234866 2828.115004 0.003794
2883.821686 3114.570056 5.261278
3247.127279 3009.854377 4.809559
2934.499446 3148.716459 4.428471
2637.270474 3361.797492 5.941483
3095.599888 3827.080813 1.127420
2828.083730 3722.332985 0.615085
2885.589086 4481.293308 2.808136
3082.901421 4062.223429 1.175942
2693.635028 3448.421968 3.765038
3167.066236 4105.840369 4.541289
3046.051763 4823.639870 2.201871
3039.747444 4546.294987 0.295008
3036.877115 5157.609705 4.240028
1996.823765 5123.768616 3.574088
1951.983766 4954.707861 0.706273
2109.924615 5075.055316 4.256746
1873.120079 5096.239692 2.859992
2360.837990 4777.678487 2.542777
2197.110659 4407.324793 3.601546
2906.370422 4515.137846 0.899594
2864.486344 4906.129705 4.825008
2760.318844 4783.527141 4.526613
1912.975979 3763.333855 0.335238
2255.670025 3206.241650 3.971280
1750.085952 3495.969340 4.868059
999.428838 3790.902138 4.279737
1379.680104 4630.661217 0.428559
2718.597259 5049.464167 3.886472
2916.446690 4721.252611 5.099949
3084.051178 4215.576843 1.429576
2893.922721 2952.160515 5.924237
2226.849446 2257.341294 2.920125
1895.197528 2899.369523 4.818322
2267.865942 2013.150999 5.787156
2765.194244 2052.574889 3.607872
2846.963561 2007.432314 0.007049
2359.242445 2121.504509 5.437864
2343.681453 1815.887833 0.200333
2524.732403 1284.943057 2.403997
2887.669286 1210.193616 5.018247
3165.700204 1323.266213 4.744094
3150.443145 1631.427276 0.264652
2987.297742 1358.238745 3.635883
2851.847526 1297.506637 2.075350
2698.035647 983.596020 2.605489
3043.092752 865.001157 4.389641
3076.187980 832.737964 1.897926
3135.765777 671.343777 5.289094
3158.167141 423.545605 4.203880
2968.956049 268.405799 1.516354
2937.334233 746.534392 3.269653
2864.672313 839.018773 0.785080
2498.295600 1087.009573 3.481658
2848.725864 1367.520432 0.880118
2740.120160 1675.324151 3.339763
2915.970521 1847.336195 4.661611
2841.601647 1966.658253 6.200849
2597.471927 1330.294584 0.163695
2707.188138 741.836394 2.855624
3015.702500 1577.685646 2.001614
2710.921909 2698.396157 0.317589
3101.165622 3706.688507 0.352092
3155.606359 2198.165764 5.810700
3096.891907 2385.137853 1.715946
2633.889820 1437.814316 1.512163
3019.120506 269.499609 3.562424
2906.966737 155.196433 1.960015
3071.717709 2384.159955 2.978825
3094.958927 278.046039 3.913156
2980.248161 191.014049 2.110445
3197.775756 184.714562 1.838218
2906.483893 1596.922881 5.836375
3071.473603 3903.888107 0.127450
1517.669472 3101.863977 1.335173
941.033222 3049.301672 5.846379
3222.243385 3302.098714 3.632909
3223.585350 3776.538140 1.141657
2889.911132 5113.402637 4.716149
2769.950837 5160.423861 3.464916
2165.483271 5164.670261 3.201818
1593.000000 2881.000000 0.000000
I am done with best solution cost = 56384.8
Time = 13727ms
69 
1049.000000 2755.000000 0.000000
964.682662 3311.489976 5.953503
1291.081663 3397.845571 4.547662
1054.246823 3304.147513 4.371890
1465.105494 3154.361920 5.648756
1372.643383 3383.751180 4.863616
1402.946662 3096.522564 0.817707
1124.436412 3203.438397 5.089555
1567.404748 3240.582764 3.166176
1740.336508 3083.616131 2.280075
2021.579804 3243.577449 2.448146
1985.821076 3648.253018 3.047644
1819.461218 3535.857212 1.023293
1428.571077 3543.003474 5.166610
1151.661256 3852.453082 2.289201
1002.186659 3719.962433 3.870642
681.276130 3944.726476 3.694389
954.772878 4144.289903 3.559281
920.042711 4436.006176 0.698677
761.443474 4653.739334 0.594543
839.219971 4415.415207 4.168259
548.783712 4490.728371 2.111145
223.885168 4629.601994 4.509878
427.052308 4609.279278 3.464458
667.728544 4857.796040 0.836848
398.900408 5082.093509 0.208207
881.503836 4948.869844 2.523062
1083.857186 5042.701097 1.966410
1572.110282 4744.534234 2.637595
1626.130017 4729.537511 3.108309
1878.553922 4226.251089 3.572077
1488.713420 4538.321506 4.742973
1743.681964 4276.419154 3.061947
1528.527573 4100.061051 6.279029
1410.295001 4130.287216 4.737165
1305.392937 4483.011248 4.154177
1455.908344 4535.769370 2.613137
1305.675160 4640.921962 4.837446
1118.705449 4779.125294 0.993111
1243.258468 5038.699985 0.320529
1484.484949 4984.669716 0.167954
1574.046452 4680.456582 5.563883
1550.618752 4561.462204 3.098564
1815.479671 4554.958920 4.686777
2124.100616 4536.962497 0.205616
1853.083624 4707.238789 1.804968
1623.184747 4692.866377 2.960886
1781.801251 4294.326386 2.569045
1288.327055 4199.791990 4.000687
967.877272 4355.967391 1.532739
951.994189 4373.011424 4.004819
694.507778 4178.895998 5.031463
635.077659 4286.489819 1.213915
614.719882 4108.514358 2.012493
1024.726156 4365.472694 4.670138
702.817416 4178.761073 1.197681
1081.623987 4241.289660 4.466676
1279.152437 3765.438218 0.991404
954.616945 3641.794372 5.128650
1093.687263 3759.990300 2.682513
1384.522320 3588.191997 3.339333
1368.447172 3168.224192 3.372075
1325.459386 3421.888961 3.054273
1339.987904 3277.722236 2.951929
1492.696886 3331.004344 3.221581
1718.000482 3121.255802 3.386253
1483.966802 3289.218417 4.070172
1400.336938 2925.498611 5.536958
1593.000000 2881.000000 0.000000
I am done with best solution cost = 55829.6
Time = 20323ms
68 
1049.000000 2755.000000 0.000000
964.682662 3311.489976 5.953503
