x= 1049.000000 , y= 2755.000000 , theta = 0.000000 , id = 10113539888386493330
x= 1593.000000 , y= 2881.000000 , theta = 0.000000 , id = 11763046553120314647
I am done with best solution cost = 46054.3
Time = 7200ms
85 
1049.000000 2755.000000 0.000000
1060.884869 2988.155483 5.240340
897.596620 2678.184813 2.965162
942.941004 2592.217142 6.040746
1011.772010 3321.129704 5.918578
1265.953457 3832.794117 1.903745
992.762669 4146.558074 4.541025
802.000913 4099.533720 2.670440
498.132921 4392.374020 4.930959
552.233236 4295.482525 0.068946
989.549560 4227.528419 3.842167
1076.235399 4293.449326 6.200993
725.089930 4308.705935 3.325374
992.856713 4564.659135 1.751717
1323.265848 4539.200400 0.542783
1249.637267 4366.556941 4.297904
1702.225927 4172.573186 4.868321
1538.561698 4487.514440 0.641493
1771.652717 4399.674349 3.850496
1737.350265 4330.503309 0.555731
2053.315296 4268.084779 3.386279
2055.493595 4277.312245 1.480331
1883.285902 4051.370205 4.975071
1576.086715 4216.756172 2.919497
1272.182155 4018.720664 4.794190
1824.643414 3911.333985 1.103804
2020.083976 3770.902816 2.298593
1867.770006 3796.607695 5.280676
1652.722049 3916.585295 4.482741
1912.411512 4355.392633 1.993525
1822.506975 4702.688732 1.516253
2114.873738 5026.427549 4.993759
1760.979588 5027.477640 1.847342
1660.671758 4834.360664 6.032130
1347.553977 4312.844730 5.174792
1322.143835 3747.003623 1.281491
1385.519985 4114.856389 5.351912
1978.140242 4035.810884 5.291846
2483.438878 3938.776189 3.659028
2409.225068 3464.108671 1.307897
2281.134876 3189.345527 5.301452
1886.023774 3301.010128 2.828935
1656.573557 3126.750755 2.261092
1530.034701 3591.181784 0.970921
1921.963550 3821.412741 2.296521
2505.759930 4123.659765 3.010672
2738.603860 4064.560268 5.408297
3128.492441 4125.325628 1.126645
3060.440542 3634.652054 1.097161
3006.280798 3213.886446 6.086795
2613.201045 3091.135364 1.214711
2961.722626 3060.597028 5.042345
3203.460072 3333.871513 2.639846
2791.003846 3602.160862 4.072018
2921.677356 3985.389844 6.016634
3018.858432 4249.757284 4.149091
3014.395790 4310.860130 0.299577
2904.861631 4383.883638 3.082565
2998.566126 4981.600140 3.285156
3168.652130 5090.403668 5.311585
2648.809480 5014.297092 0.938342
2824.223883 4587.123363 6.032537
2816.723536 5114.896796 0.487031
3212.273440 4027.275512 0.924071
2466.232784 3500.856622 5.139931
2589.397532 3861.225850 0.860941
2284.973930 3543.394330 3.696608
1870.128694 3267.630842 1.693143
1885.543629 3189.581174 1.863945
2114.914738 2849.075632 0.179037
1963.683868 2685.127172 5.727575
2343.088275 2758.590188 4.532763
2491.691375 2259.665335 4.997583
2875.787988 2114.770018 1.934461
2820.859443 2200.813973 3.144193
3157.871021 2523.015622 3.842312
2817.030894 2653.601272 1.500734
2716.112898 3170.638717 0.704370
2545.597343 2786.798856 3.322399
2135.082280 2363.325842 1.579947
1961.352705 2882.311866 0.882996
1895.633873 3404.512502 1.610608
2389.930307 2776.668538 1.457947
2305.400340 3110.686727 2.301766
1593.000000 2881.000000 0.000000
time is done 
