I am done with best solution cost = 53174.8
Time = 3431ms
78 
1049.000000 2755.000000 0.000000
1063.594397 3084.857646 5.821554
1111.842021 3471.549665 3.359865
1492.784673 3198.143315 0.297495
1567.282005 3218.739462 2.426664
1501.575277 3688.102336 3.410552
1108.006908 3637.389958 1.037927
1544.588350 3456.681328 2.721510
1862.645573 3560.791255 5.201988
1693.211969 4035.943453 0.352184
1464.300432 3737.670772 3.578286
1858.661711 3824.944163 5.661259
2046.814698 4183.210488 0.911756
2432.408961 4383.488499 2.117222
2469.280501 3996.170455 5.108775
2555.216374 3942.193434 0.036706
2894.187423 4218.274930 2.435468
2799.180708 4427.313426 0.058872
3153.995829 4015.002253 0.699817
3129.851382 4398.711274 3.211852
2740.637233 4927.330415 0.806045
2987.763326 5058.509999 1.472289
2784.590792 5108.861154 3.521423
2640.622911 5069.411239 2.518144
2071.320258 5125.585623 4.749075
1262.865161 5133.547277 3.342834
1290.215406 4958.691728 1.653183
656.668579 4840.021309 2.734465
564.107542 4973.170204 4.782484
481.511115 4727.474784 1.701673
68.833772 5093.105710 1.370653
948.282965 4931.561338 4.026436
1330.249422 4516.072090 2.258695
1766.101270 4733.349879 5.905626
1123.097684 4594.194240 1.146955
443.413446 4366.690160 2.751331
390.977379 4702.608656 4.778081
237.746355 4917.726234 6.020558
737.776108 4871.603715 4.175518
347.940861 5096.527540 5.636513
1750.648366 3999.748441 3.046303
2339.632858 3354.836513 5.723266
2437.198622 3453.359021 4.380992
2726.404621 3242.472850 4.382019
3028.863618 2742.453537 2.685643
3234.935256 3116.260043 4.443296
2849.079961 3234.947639 1.916399
2991.929001 3408.884132 0.502304
2972.569612 4281.214639 5.726573
3235.087901 3862.514407 4.523243
2405.732530 3786.022523 1.582694
3022.421270 4264.348920 1.620178
2989.398902 3232.743349 1.276546
2165.202222 2979.990108 5.931560
2431.192143 3508.245334 5.147377
2062.663007 3435.269009 4.613456
1983.023785 2565.003141 0.611130
1974.169561 2216.839669 5.600514
2436.088035 2075.099422 2.490395
2047.865692 2016.279119 3.871806
2382.337236 1619.246506 4.993309
2938.631663 1642.497299 2.899909
3026.025929 1364.762877 4.878889
2930.516043 811.670127 0.718736
2870.373914 386.127132 5.598890
2833.449990 787.130178 4.554827
2554.804386 1245.058289 3.116960
2552.142233 1903.627325 2.010603
3062.672816 1351.484028 6.206319
3050.844291 604.544507 1.442405
2745.104222 1026.368681 1.909982
2667.061685 1910.362544 3.917658
2365.454115 2486.762335 5.206838
2986.390337 2484.268474 0.367643
2187.717396 2198.954363 3.441968
2943.004335 2495.748175 2.603244
2959.508799 3031.056145 1.136569
1593.000000 2881.000000 0.000000
I am done with best solution cost = 48938.7
Time = 6500ms
49 
1049.000000 2755.000000 0.000000
1063.594397 3084.857646 5.821554
1111.842021 3471.549665 3.359865
1492.784673 3198.143315 0.297495
1567.282005 3218.739462 2.426664
1501.575277 3688.102336 3.410552
1108.006908 3637.389958 1.037927
1544.588350 3456.681328 2.721510
1862.645573 3560.791255 5.201988
1693.211969 4035.943453 0.352184
1464.300432 3737.670772 3.578286
1858.661711 3824.944163 5.661259
2046.814698 4183.210488 0.911756
2432.408961 4383.488499 2.117222
2469.280501 3996.170455 5.108775
2555.216374 3942.193434 0.036706
2894.187423 4218.274930 2.435468
2799.180708 4427.313426 0.058872
3153.995829 4015.002253 0.699817
3129.851382 4398.711274 3.211852
2740.637233 4927.330415 0.806045
2987.763326 5058.509999 1.472289
2784.590792 5108.861154 3.521423
2640.622911 5069.411239 2.518144
2071.320258 5125.585623 4.749075
1262.865161 5133.547277 3.342834
1290.215406 4958.691728 1.653183
656.668579 4840.021309 2.734465
564.107542 4973.170204 4.782484
481.511115 4727.474784 1.701673
68.833772 5093.105710 1.370653
948.282965 4931.561338 4.026436
1330.249422 4516.072090 2.258695
1766.101270 4733.349879 5.905626
1123.097684 4594.194240 1.146955
519.149543 4836.981613 4.168662
884.900508 4366.062646 0.775402
1257.051167 4957.341883 2.590983
1933.922749 4685.150606 3.271064
1033.119056 3931.015086 4.393484
2019.409672 4739.109626 4.527159
2169.993808 4711.930629 0.788999
818.715165 4575.158276 4.549614
646.033974 4196.529809 0.793525
1577.301621 4712.358949 2.693014
806.668323 4324.069304 4.127798
1732.493424 2680.821903 3.243511
1915.223256 2845.563998 0.646788
1593.000000 2881.000000 0.000000
I am done with best solution cost = 7252.82
Time = 9728ms
13 
1049.000000 2755.000000 0.000000
1063.594397 3084.857646 5.821554
1111.842021 3471.549665 3.359865
1566.264338 2996.332358 5.944173
1726.266646 2893.333939 3.238784
1969.008117 3206.782223 6.266038
1818.301304 2894.333872 2.814722
1806.146814 3119.714497 2.167962
1715.380286 3443.387316 3.502684
1198.814626 4447.391599 4.193323
1994.601225 3822.972584 1.372924
1881.556984 2996.929112 3.794417
1593.000000 2881.000000 0.000000
I am done with best solution cost = 3203.6
Time = 19244ms
8 
1049.000000 2755.000000 0.000000
1063.594397 3084.857646 5.821554
1111.842021 3471.549665 3.359865
1566.264338 2996.332358 5.944173
1792.073660 2898.124551 1.453667
1697.076054 2702.088615 5.137901
1846.826378 3028.376712 2.708206
1593.000000 2881.000000 0.000000
