x= 1049.000000 , y= 2755.000000 , theta = 0.000000 , id = 10113539888386493330
x= 1593.000000 , y= 2881.000000 , theta = 0.000000 , id = 11763046553120314647
I am done with best solution cost = 54970.5
Time = 2117ms
72 
1049.000000 2755.000000 0.000000
968.741860 3116.800698 2.249208
957.584535 3232.508954 2.192499
1175.293024 3914.103727 6.194542
1276.563640 4350.739040 0.693193
1434.043322 4521.912523 4.427039
1758.097173 4390.593227 6.076853
2116.909373 4411.174975 0.414000
2288.082357 4401.715971 2.418741
2037.767409 4627.892506 2.677435
1513.670398 4453.100572 4.823770
1237.967002 4816.220757 4.260936
1123.311145 5078.402493 5.245105
467.474109 4640.745823 4.520489
666.251660 4341.196402 0.579582
587.779783 4210.937608 2.804677
930.387684 4219.523537 4.338996
1476.473645 3899.811655 4.189500
1082.605893 3856.848694 0.042544
1470.556096 4237.607476 4.765470
980.310830 4368.894374 4.449341
867.969165 4701.211626 2.372018
558.015546 4958.246011 5.261652
2136.845341 4325.898061 2.629191
1770.189185 4026.838551 5.121107
2356.906461 3600.789017 6.026954
2882.628426 3641.938292 5.994787
2424.249779 3428.574860 2.451536
2048.063861 3074.516830 2.845516
2286.301776 3316.240807 1.517065
1795.865544 2790.948549 1.493793
1817.633545 2781.621748 2.784821
2300.112611 3264.865998 5.896490
2915.181840 3532.302824 5.811986
2527.985223 4005.948886 0.815844
1983.968623 3717.047992 2.947483
2728.664616 3758.357860 5.987819
2194.756598 3949.285157 6.134059
1972.960884 4217.178095 2.495805
2823.949308 4614.903158 3.237646
1939.390157 4314.874238 4.173800
2245.554165 4343.013331 0.797454
2658.381802 4513.076915 5.915771
1886.678096 4192.463989 2.593472
2697.734251 3433.159704 3.959109
3085.345316 2798.549059 0.649220
2542.977046 2290.874807 3.319172
2489.851279 1894.450217 0.878821
1982.923185 2350.675379 0.928194
2814.620090 3018.791050 4.139854
2157.599865 3612.515019 5.789543
1476.660283 3582.638534 3.093429
2763.727985 4011.652327 2.261388
2922.424602 4990.290095 5.586734
2869.693955 5065.335932 5.142074
2990.481656 5018.005563 0.468557
2957.940379 4228.149812 5.276765
2899.106937 2799.104407 2.113496
3192.652217 1726.117007 0.727648
2479.248823 1509.055351 5.895333
2885.355671 898.770486 5.181166
3194.664224 1238.070996 3.681997
2638.994892 945.550632 2.670105
3153.887761 1136.622476 0.866991
2489.222559 1280.696886 1.731078
2228.630580 1660.246709 4.440990
2866.205272 1033.153067 6.045440
2758.624362 792.972550 1.999450
2709.679843 1184.508009 5.774328
3160.811141 2861.070876 3.130418
3128.782379 2962.693951 1.592046
1593.000000 2881.000000 0.000000
I am done with best solution cost = 11025.9
Time = 6402ms
16 
1049.000000 2755.000000 0.000000
968.741860 3116.800698 2.249208
1224.642553 3525.464904 6.148520
1344.843701 3540.212616 0.770065
1050.374720 3647.580310 2.635552
1395.770118 3550.695205 2.687138
1922.875028 3880.880327 4.343877
1370.257392 4595.095109 2.398018
1020.412170 4706.122496 3.426439
937.288601 3672.486980 1.220696
1910.465409 3677.213703 3.936308
1251.124457 3418.624315 1.716289
2578.204818 3252.336511 3.024636
2840.605098 3098.587824 3.545434
1723.603081 2933.378190 2.116629
1593.000000 2881.000000 0.000000
I am done with best solution cost = 9561.87
Time = 11181ms
21 
1049.000000 2755.000000 0.000000
968.741860 3116.800698 2.249208
1224.642553 3525.464904 6.148520
1344.843701 3540.212616 0.770065
1050.374720 3647.580310 2.635552
1395.770118 3550.695205 2.687138
1378.108190 3835.114507 2.090567
1569.907629 4387.065418 4.486176
2326.522828 4854.340572 1.756141
2651.448428 5088.854209 6.223238
2640.648087 5141.602394 1.152162
2878.388506 4804.692423 3.262942
2881.770728 4433.304127 3.381695
3037.452249 4101.059159 3.024052
2440.982972 4027.141374 4.687757
2214.767799 3882.523936 2.638918
2285.231656 3430.544167 1.538163
1923.023558 3263.936522 1.756540
1640.592757 3235.608303 4.285101
1749.041082 3190.415590 3.260078
1593.000000 2881.000000 0.000000
I am done with best solution cost = 7740.23
Time = 12307ms
17 
1049.000000 2755.000000 0.000000
968.741860 3116.800698 2.249208
1224.642553 3525.464904 6.148520
1344.843701 3540.212616 0.770065
1050.374720 3647.580310 2.635552
1395.770118 3550.695205 2.687138
1378.108190 3835.114507 2.090567
1610.129592 4680.705893 0.306238
1488.770078 4795.179041 4.971248
1181.217976 4783.715738 3.111652
1020.412170 4706.122496 3.426439
937.288601 3672.486980 1.220696
1910.465409 3677.213703 3.936308
1977.422896 3407.020481 0.179468
1884.356414 3109.737835 2.520831
1614.802668 3070.696089 3.119475
1593.000000 2881.000000 0.000000
time is done 
